Ref,Val,Package,PosX,PosY,Rot,Side
"C23","100n","C_0402_1005Metric",22.860000,-13.980000,0.000000,top
"C25","100n","C_0402_1005Metric",2.490000,-24.240000,0.000000,top
"C27","100n","C_0402_1005Metric",-18.920000,-13.731250,0.000000,top
"C29","100n","C_0402_1005Metric",-12.475000,14.440000,0.000000,top
"D2","WS2812B-2020","LED_WS2812B-2020_PLCC4_2.0x2.0mm",20.230000,-14.500000,0.000000,top
"D4","WS2812B-2020","LED_WS2812B-2020_PLCC4_2.0x2.0mm",-0.025000,-24.700000,0.000000,top
"D6","WS2812B-2020","LED_WS2812B-2020_PLCC4_2.0x2.0mm",-21.735000,-14.411250,0.000000,top
"D8","WS2812B-2020","LED_WS2812B-2020_PLCC4_2.0x2.0mm",-15.280000,13.900000,0.000000,top
"H2","4881_M3_Threaded_Insert","4881_M3_Threaded_Insert",33.000000,0.000000,0.000000,top
"H3","4881_M3_Threaded_Insert","4881_M3_Threaded_Insert",-33.000000,0.000000,0.000000,top
"REF**","SW_Lekker_MX_1.00u_PCB","SW_Lekker_MX_1.00u_PCB",-19.500000,0.000000,0.000000,top
"REF**","SW_Lekker_MX_1.00u_PCB","SW_Lekker_MX_1.00u_PCB",19.500000,0.000000,0.000000,top
"REF**","SW_Lekker_MX_1.00u_PCB","SW_Lekker_MX_1.00u_PCB",0.000000,0.000000,0.000000,top
"SW1","SW_Push","SW_Push_1P1T_NO_6x6mm_H9.5mm",10.000000,-20.000000,0.000000,top
"SW2","SW_Push","SW_Push_1P1T_NO_6x6mm_H9.5mm",-10.000000,-20.000000,0.000000,top
